unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
13098,U+13098,,D-19-001,C,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing each other.",,"Classifier enveloping, embracing, uniting",D32,"106,4",D32,,,D032
13099,U+13099,,D-20-002,C,"Two arms, holding an oar, in a rowing motion, below a cover.",ẖn,Phonemogram,D33,"108,1",D33,,,D033
1309A,U+1309A,,D-21-007,C,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a shield as seen in profile, top curving inwards, the other arm downwards, forearm vertical, holding a mace (T3) horizontally.",ꜥḥꜣ,Logogram (to fight),D34,,,,,D034
1309B,U+1309B,,D-21-002,C,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a rectangular shield with inward curving sides, the other arm downwards, forearm vertical, holding a mace (T3) horizontally.",ꜥḥꜣ,Logogram (to fight),D34A,"108,8",D34A,,,D034A
1309C,U+1309C,,D-22-002,C,"Two arms, connected at the shoulders, spread sideways, forearms horizontal, with the palms of the hands facing upwards",n,Logogram (negative particle),D35,"109,5",D35,,,D035
1309D,U+1309D,,D-23-001,C,"A forearm, with the palm of the hand facing upwards.",ꜥ,Phonemogram,D36,"109,7",D36,,,D036
1309E,U+1309E,,D-24-002,C,A forearm with the hand holding a conical loaf of bread (X8).,ḏꞽ > dꞽ,Phonemogram,D37,"110,1",D37,,,D037
1309F,U+1309F,,D-24-004,C,"A forearm with the hand holding a loaf of bread, without internal detail (X3).",m,Phonemogram,D38,"110,3",D38,,,D038
130A0,U+130A0,,D-24-007,C,A forearm with the hand holding a round vessel with an upstanding rim (W24).,ḥnk,"Logogram (to offer, to present)",D39,"110,6",D39,,,D039
130A1,U+130A1,,D-25-001,C,A forearm with the hand holding a stick.,,"Classifier force, effort",D40,"110,13",D40,,,D040
130A2,U+130A2,,D-25-014,C,"A forearm, with the palm of the hand downwards, with the upper arm bent forwards.",,Classifier arm related movements or actions,D41,"111,10",D41,,,D041
130A3,U+130A3,,D-25-017,C,"A forearm, with the palm of the hand downwards, upper arm vertical.",mḥ,Logogram (cubit),D42,"111,13",D42,,,D042
130A4,U+130A4,,D-25-021,C,A forearm with the hand holding a flagellum (S45).,ḫwꞽ,Logogram (to protect),D43,"112,1",D43,,,D043
130A5,U+130A5,,D-25-007,C,A forearm with the hand holding a sceptre (S42).,ḫrp,Classifier governing/controlling,D44,"111,3",D44,,,D044
130A6,U+130A6,,D-26-011,C,"An arm, bent at the elbow, forearm nearly horizontal, holding a wand or brush.",ḏsr,Logogram (to make holy),D45,"113,4",D45,,,D045
130A7,U+130A7,,D-28-001,C,A human hand.,d,Phonemogram,D46,"114,10",D46,,,D046
130A8,U+130A8,,D-28-009,C,A human hand with a forward downward line coming from the thumb.,ꞽd.t,"Logogram (scent, perfume, dew)",D46C,,D46C,,,D046A
130A9,U+130A9,,D-28-016,C,A human hand with the thumb upwards and the palm curved upwards.,ḏr.t,Classifier hand,D47,"115,6",D47,,,D047
130AA,U+130AA,,D-28-028,C,A human hand without a thumb.,šsp,Logogram (palm),D48,,D48,,,D048
130AB,U+130AB,,D-28-027,C,"A human hand, holding an oval.",ḥnt,Phono-repeater,,,D48A,,,D048A
130AC,U+130AC,,D-29-001,C,"A human hand, held as a fist, with the thumb on top.",ꜣmm,Classifier grasping/holding,D49,"115,14",D49,,,D049
130AD,U+130AD,,D-30-001,C,A vertical human finger.,ḏbꜥ,Logogram (finger),D50,"116,7",D50,,Y,D050
130AE,U+130AE,,D-30-008,C,,,\20000,,,,,,D050A
130AF,U+130AF,,D-30-009,C,,,\30000,,,,,,D050B
130B0,U+130B0,,D-30-010,C,,,\40000,,,,,,D050C
130B1,U+130B1,,D-30-011,C,,,\50000,,,,,,D050D
130B2,U+130B2,,D-30-012,C,,,\60000,,,,,,D050E
130B3,U+130B3,,D-30-013,C,,,\70000,,,,,,D050F
130B4,U+130B4,,D-30-014,C,,,\80000,,,,,,D050G
130B5,U+130B5,,D-30-015,C,,,\90000,,,,,,D050H
130B6,U+130B6,,D-30-016,C,,,\50000,,,,,,D050I
130B7,U+130B7,,D-30-006,C,A horizontal human finger.,ṯꜣꞽ,Classifier taking,D51,"116,12",D51,,Y,D051
130B8,U+130B8,,D-31-001,C,A phallus with a scrotum.,bꜣḥ,Phonemogram,D52,"116,14",D52,,,D052
130B9,U+130B9,130B8 13436 132F4,S-15-047,L,"A phallus with a scrotum (D52), written over a folded piece of cloth (S29).",sšm,Phonemogram,,"381,11",S125,,,D052A
130BA,U+130BA,,D-31-007,C,"A phallus with a scrotum, with a line of liquid issuing from it.",bꜣḥ,Phonemogram,D53,"117,7",D53,,,D053
130BB,U+130BB,,D-34-001,C,"Legs in a walking posture, feet orientated towards the reading direction.",,Classifier movement,D54,"118,5",D54,Y,,D054
130BC,U+130BC,,D-34-013,C,"Legs in a walking posture, feet orientated towards the reading direction, with a hook added to the front leg.",ꞽwꞽ,Logogram (to come),,,D54A,,,D054A
130BD,U+130BD,,D-34-002,C,"Legs in a walking posture, feet orientated away from the reading direction.",,Classifier reverse movement,D55,"118,6",D55,Y,,D055
130BE,U+130BE,,D-35-001,C,A leg with a bent knee.,rd,Classifier leg/foot,D56,"119,5",D56,,,D056
130BF,U+130BF,,D-35-005,C,"A leg with a bent knee (D56), with a knife with a rounded blade and rounded handle (T30) written over it.",nkn,"Classifier damage, injury",D57,"119,9",D57,,,D057
130C0,U+130C0,,D-35-012,C,A human foot and lower leg.,b,Phonemogram,D58,"119,12",D58,,,D058
130C1,U+130C1,1309D 13436 130C0,D-35-031,L,"A forearm, with the palm of the hand facing upwards (D36) written over a human foot and lower leg (D58).",ꜥb,Phonemogram,D59,"120,8",D59,,,D059
130C2,U+130C2,,D-35-017,C,"A human foot and lower leg (D58), with a vase on its side, with liquid issuing from it (W54) on top of it.",wꜥb,"Logogram (to be pure, to be clean)",D60,"120,2",D60,,,D060
130C3,U+130C3,,D-36-001,C,"A stylized row of three toes, with the ovals at the left side.",sꜣḥ,Phono-repeater,D61,"122,1",D61,,,D061
130C4,U+130C4,,D-36-002,C,"A stylized row of three toes, with the ovals at the right side.",sꜣḥ,Phonemogram,D62,,D62,,,D062
130C5,U+130C5,,D-36-007,C,"A stylized set of two toes, resembling a cloth wound on a pole, an emblem of divinity (R8), on top of a base with a loop at the far end.",sꜣḥ,Phonemogram,D63,,D63,,,D063
130C6,U+130C6,,D-28-018,C,A human hand with the thumb downwards and the palm curved downwards.,ḏr.t,Logogram (hand),D271,,D271,,,D064
130C7,U+130C7,,D-04-015,C,"A sidelock, usually worn by a child.",šrꞽ,"Logogram (child, son, lad)",D132,"96,12",D132,,,D065
130C8,U+130C8,,D-26-022,C,"An arm, bent at the elbow, forearm nearly horizontal, hand held like a fist, with a stylus angled over the tip of the fist.",wdꞽ,Classifier to engrave,,"113,15",D66 D245,,,D066
130C9,U+130C9,,D-38-001,C,,,,,"471,14",,,,D067
130CA,U+130CA,,D-38-002,C,,,,,,,,,D067A
130CB,U+130CB,,D-38-003,C,,,,,,,,,D067B
130CC,U+130CC,,D-38-004,C,,,,,,,,,D067C
130CD,U+130CD,,D-38-005,C,,,,,,,,,D067D
130CE,U+130CE,,D-38-006,C,,,,,,,,,D067E
130CF,U+130CF,,D-38-007,C,,,,,,,,,D067F
130D0,U+130D0,,D-38-008,C,,,,,,,,,D067G
130D1,U+130D1,,D-38-009,C,,,,,,,,,D067H
130D2,U+130D2,,E-23-002,C,"A bovid (bull), standing, with outwards curving horns.",kꜣ,Logogram (bull),,,E1,,,E001
130D3,U+130D3,,E-23-006,C,"A bovid (bull), standing, with its head lowered as if to attack.",smꜣ,Classifier rage/aggression,E2,"142,13",E2,,,E002
130D4,U+130D4,,E-25-001,C,"A calf, standing.",bḥs,Classifier calf,E3,"145,4",E3,,,E003
130D5,U+130D5,,E-23-091,C,"A cult image of a bovid (cow), lying down, with a sun disk (N5) with two feathers between the horns, with a flagellum (S45) on its back, and a necklace around the neck.",mḥ.yt,Classifier cow divinity,,,E4,,,E004
130D6,U+130D6,,E-23-066,C,"A bovid (cow), standing, head facing backwards over its body, with a calf below the cow, suckling.",ꜣms,Classifier concern,E5,,E5,,,E005
130D7,U+130D7,,E-09-005,C,"A horse, about to rear, front legs nearly vertical.",ḥtr,Logogram (span (of horses)/horse),,"132,5",E6,,,E006
130D8,U+130D8,,E-01-001,C,"A donkey/ass, standing.",ꜥꜣ,Classifier donkey/ass,E7,"124,1",E7,,,E007
130D9,U+130D9,,E-10-008,C,A immature goat (kid).,ꞽb,Logogram (kid),E8,,E8,,,E008
130DA,U+130DA,,E-10-009,C,"A immature goat (kid), rearing.",ꞽb,Phono-repeater,E8A,,E8A,,,E008A
130DB,U+130DB,,E-05-009,C,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards.",ꞽw,Phonemogram,E9,"128,9",E9,,,E009
130DC,U+130DC,,E-23-062,C,"A bovid (cow), lying down, legs folded beneath the body.",ꞽh.t,Classifier cow (cow of the sky),E100,"144,11",E100,,,E009A
130DD,U+130DD,,E-04-001,C,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard.",bꜣ,Classifier ram,E10,"127,8",E10,,,E010
130DE,U+130DE,,E-04-002,C,"A ram (Ovis longipes palaeo-aegyptiacus), standing, without a beard.",bꜣ,Phonemogram,E11,"127,10",E11,,,E011
130DF,U+130DF,,E-19-002,C,A pig.,ꞽpḥ,Classifier pig,,"137,14",E12,,,E012
130E0,U+130E0,,E-08-002,C,"A cat, seated, tail curled over the body towards the back.",mꞽ,Phonemogram,E13,"131,5",E13,,,E013
130E1,U+130E1,,E-06-003,C,"A hunting hound, standing, tail curling upwards.",ṯsm,Classifier dog/hound,E14,"129,4",E14,,,E014
130E2,U+130E2,,E-07-001,C,"A jackal, lying down, tail downwards.",ꞽnp.w,Logogram (Anubis),E15,"130,3",E15,,,E015
130E3,U+130E3,,E-07-017,C,"A jackal, lying down, tail downwards, on top of a shrine.",ḥr.y-sštꜣ,Logogram (privy to the secrets),E16,"130,15",E16,,,E016
130E4,U+130E4,,E-07-020,C,"A jackal, lying down, tail downwards, with a flagellum (S45) on its back, on top of a shrine.",ꞽnp.w,Classifier Anubis,,"131,2",E16AEXTU,,,E016A
130E5,U+130E5,,E-06-004,C,"A jackal, standing, tail down.",sꜣb,Phonemogram,E17,"129,5",E17,,,E017
130E6,U+130E6,,E-06-015,C,"A jackal, standing, tail down, head looking backwards.",sṯꜣ,Phonemogram,E141,"129,12",E141,,,E017A
130E7,U+130E7,,E-06-018,C,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus at the front of the standard.",wp-wꜣ.wt,Logogram (Wepwawet),E18,"129,15",E18,,,E018
130E8,U+130E8,,E-06-022,C,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus and šdšd-protuberance at the front of the standard, with a mace (T3) written horizontally over the vertical pole of the standard.",wp-wꜣ.wt,Classifier Wepwawet,,,E19,,,E019
130E9,U+130E9,,E-02-003,C,"The animal of Seth, seated, tail up.",stš/stẖ,Logogram (Seth),E20,"124,5",E20,,,E020
130EA,U+130EA,,E-02-004,C,,,,E147,,E147,,,E020A
130EB,U+130EB,,E-02-009,C,"The animal of Seth, lying down, tail up.",stš/stẖ,Logogram (Seth),E21,"124,9",E21,,,E021
130EC,U+130EC,,E-17-001,C,"A lion, standing, tail downwards.",mꜣꞽ,Classifier (lion),E22,"135,11",E22,,,E022
130ED,U+130ED,,E-17-011,C,"A lion, lying down, tail curled over the body towards the back.",rw,Phonemogram,E23,"136,12",E23,,,E023
130EE,U+130EE,,E-18-001,C,"A panther or leopard, standing.",ꜣby,Classifier leopard,E24,"137,11",E24,,,E024
130EF,U+130EF,,E-14-003,C,A hippopotamus (Hippopotamus amphibius).,ḫꜣb,Classifier hippopotamus,E25,"133,8",E25,,,E025
130F0,U+130F0,,E-11-001,C,An elephant.,ꜣbw,Classifier elephant,E26,"133,2",E26,,,E026
130F1,U+130F1,,E-12-002,C,A giraffe.,sr,Classifier to fortell,E27,"133,4",E27,,,E027
130F2,U+130F2,,E-03-001,C,"An oryx, standing.",mꜣ-ḥḏ,Classifier oryx,E28,"126,3",E28,,,E028
130F3,U+130F3,,E-03-005,C,"A basket with four pieces of grain or fruit (M39) in front of an oryx, standing (E28), on top of a parcel of land with irrigation ditches (N24).",mꜣ-ḥḏ,"Logogram (Oryx nome, 16th nome of Upper Egypt)",,,US1E28AEXTU,,,E028A
130F4,U+130F4,,E-03-028,C,"A gazelle, standing, with one horn visible.",gḥs,Classifier gazelle,E29,"127,3",E29,,,E029
130F5,U+130F5,,E-10-013,C,A Nubian ibex (Capra nubiana).,n(ꞽ)ꜣw,Classifier ibex,E30,,E30,,,E030
130F6,U+130F6,,E-10-007,C,"A goat, standing, with a seal, attached to a neck string (S20) around its neck.",sꜥḥ,"Logogram (rank, diginity)",E187,"132,13",E187,,,E031
130F7,U+130F7,,E-20-003,C,A hamadryas baboon (Papio hamadryas).,ḳnd,"Classifier rage, fury",E32,"138,3",E32,,,E032
130F8,U+130F8,,E-20-004,C,A monkey.,gf,Classifier monkey,E33,"138,4",E33,,,E033
130F9,U+130F9,,E-16-006,C,"A desert hare, lying down, with whiskers.",wn,Phonemogram,,,E34,,,E034
130FA,U+130FA,130F9,E-16-005,L,,,,,"135,6",,,,E034A
130FB,U+130FB,,E-20-007,C,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards.",ḏḥwty,Logogram (Thot),,,US248E35VARA,,,E036
130FC,U+130FC,,E-20-033,C,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards, in front of a sheath or receptacle with V shaped indentation at the top, bound at the top with a loop at the backside (V36G); on top of an alabaster basin with a diamond shaped inner marking (W3).",wnšb,Logogram (symbol of the cycle of time),E45,"139,4",E45,,,E037
130FD,U+130FD,,E-23-055,C,,,,E92,"144,3",E92,,,E038
130FE,U+130FE,,F-03-002,C,The head of a bovid (ox) with outwards curving horns.,kꜣ,"Classifier bull, ox, cattle",,"147,6",F1,,,F001
130FF,U+130FF,,F-03-014,C,"The head of a bovid (cow), without horns, with an ear.",ḫnt,Phonemogram,F63,"147,12",F63,,,F001A
13100,U+13100,,F-03-004,C,"The head of a bovid (bull), angled forward as if to attack.",ḏnd,Classifier rage/aggression,F2,,F2,,,F002
13101,U+13101,,F-07-001,C,The head of a hippopotamus.,ꜣt,Phonemogram,F3,"152,5",F3,,,F003
13102,U+13102,,F-08-006,C,"The forepart of a lion, lying down.",ḥꜣ.t,"Logogram (beginning, front)",F4,"152,14",F4,,,F004
13103,U+13103,,F-06-011,C,The head of a bubalis antelope.,šsꜣ,Phonemogram,F5,"151,12",F5,,,F005
13104,U+13104,,F-06-009,C,The forepart of a bubalis antelope.,šsꜣ,Phonemogram,F6,"151,10",F6,,,F006
13105,U+13105,,F-02-004,C,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard.",šfšf.yt,"Classifier worth, dignity, renown",F7,"146,7",F7,,,F007
13106,U+13106,,F-02-009,C,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard.",šf.yt,"Logogram (worth, dignity, renown)",F8,,F8,,,F008
13107,U+13107,,F-08-001,C,The head of a leopard.,pḥ.ty,Logogram (strength),F9,"152,9",F9,,,F009
13108,U+13108,,F-05-004,C,"The head and neck of a long-necked horned animal, with a forked end to the neck with a horizontal line over the forked end.",sꜥm,Classifier throat associated action,F10,"150,9",F10,,,F010
13109,U+13109,,F-05-003,C,The head and neck of a long-necked horned animal.,ꜥm,Classifier throat associated action,F11,"149,6",F11,,,F011
1310A,U+1310A,,F-05-001,C,The head and neck of a canine animal.,wsr,Phonemogram,F12,"149,5",F12,,,F012
1310B,U+1310B,,F-11-001,C,The horns of a bovid (ox).,wp,Phonemogram,F13,"154,10",F13,,,F013
1310C,U+1310C,1310B,F-11-003,L,,,,,"154,12",,,,F013A
1310D,U+1310D,,F-11-006,C,"A palm branch, stripped of leaves and notched with a round notch (M4), written within the horns of a bovid (F13).",wp-rnp.t,Logogram (New Year's Day),F14,"154,14",F14,,,F014
1310E,U+1310E,,F-11-010,C,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a sun disk (N5), written within the horns of a bovid (F13). ",wp-rnp.t,Logogram (New Year's Day),F15,"155,2",F15,,,F015
1310F,U+1310F,,F-13-001,C,A horn of a bovid,ꜥb,Logogram (horn),F16,"155,14",F16,,,F016
